"ID_INDIV","GENDER","DAY","pa_gral","na_gral","V1RelSat"
3272,"female",33,2.6,1.3,4.33333333333333
3272,"female",34,2.6,1.3,4.33333333333333
3272,"female",35,2.6,1.2,4.33333333333333
3272,"female",36,3,1.1,4.33333333333333
3272,"female",37,2.7,1.3,4.33333333333333
3272,"female",38,2.5,1.1,4.33333333333333
3272,"female",39,2.5,1.3,4.33333333333333
3272,"female",40,2.5,1.3,4.33333333333333
3272,"female",41,2.3,1.2,4.33333333333333
3272,"female",42,2.4,1.1,4.33333333333333
3272,"female",43,2.5,1.4,4.33333333333333
3272,"female",44,2.5,1.2,4.33333333333333
3272,"female",45,2.3,1.1,4.33333333333333
3272,"female",46,2.8,1,4.33333333333333
3272,"female",47,2.3,1.7,4.33333333333333
3272,"female",48,3,1,4.33333333333333
3272,"female",49,2.8,1.1,4.33333333333333
3272,"female",50,2.6,1,4.33333333333333
3272,"female",51,2.6,1,4.33333333333333
3272,"female",52,2.6,1,4.33333333333333
3272,"female",53,2.8,1,4.33333333333333
3272,"female",54,2.7,1,4.33333333333333
3272,"female",55,3.4,1,4.33333333333333
3272,"female",56,2.9,1,4.33333333333333
3272,"female",57,2.7,1.9,4.33333333333333
3281,"male",1,1.6,1,6.83333333333333
3281,"male",2,1.2,1,6.83333333333333
3281,"male",3,1.6,1,6.83333333333333
3281,"male",4,1.9,1,6.83333333333333
3281,"male",5,1,1,6.83333333333333
3281,"male",6,1.9,1,6.83333333333333
3281,"male",7,1.6,1.1,6.83333333333333
3281,"male",8,1.6,1,6.83333333333333
3281,"male",9,2.1,1,6.83333333333333
3281,"male",10,1.7,1.4,6.83333333333333
3281,"male",11,1.6,1,6.83333333333333
3281,"male",12,1.8,1,6.83333333333333
3281,"male",13,1.6,1,6.83333333333333
3281,"male",14,1.6,1,6.83333333333333
3282,"female",1,2.8,1.2,5.16666666666667
3282,"female",2,2.3,1.2,5.16666666666667
3282,"female",3,1.3,1.1,5.16666666666667
3282,"female",4,1.6,1.9,5.16666666666667
3282,"female",5,2.1,1.2,5.16666666666667
3282,"female",6,1.7,2.6,5.16666666666667
3282,"female",7,1.6,1.9,5.16666666666667
3282,"female",8,1.7,1,5.16666666666667
3282,"female",9,1.6,1,5.16666666666667
3282,"female",10,1.9,1,5.16666666666667
3282,"female",11,2,1,5.16666666666667
3282,"female",12,2.4,1,5.16666666666667
3282,"female",13,2.5,1,5.16666666666667
3282,"female",14,1.9,1,5.16666666666667
3301,"male",1,4.1,1.1,6.83333333333333
3301,"male",2,4.2,1.3,6.83333333333333
3301,"male",3,4.3,1,6.83333333333333
3301,"male",4,4.4,1.1,6.83333333333333
3301,"male",5,4.3,1,6.83333333333333
3301,"male",6,4.2,1,6.83333333333333
3301,"male",7,4.1,1.2,6.83333333333333
3301,"male",8,4.8,1.3,6.83333333333333
3301,"male",9,4.3,1,6.83333333333333
3301,"male",10,4.4,1,6.83333333333333
3301,"male",11,4.5,1,6.83333333333333
3301,"male",12,4.1,1,6.83333333333333
3301,"male",13,4.4,1,6.83333333333333
3301,"male",14,4.4,1,6.83333333333333
3301,"male",15,4.3,1,6.83333333333333
3301,"male",16,4.5,1,6.83333333333333
3301,"male",17,4.5,1.1,6.83333333333333
3301,"male",18,4.5,1.2,6.83333333333333
3301,"male",19,4.5,1,6.83333333333333
3301,"male",20,4.5,1,6.83333333333333
3301,"male",21,4.5,1,6.83333333333333
3301,"male",22,4.5,1.1,6.83333333333333
3301,"male",23,4.7,1.1,6.83333333333333
3301,"male",24,4.7,1.3,6.83333333333333
3301,"male",25,4.4,1.2,6.83333333333333
3301,"male",26,3.9,1,6.83333333333333
3301,"male",27,4.1,1.2,6.83333333333333
3301,"male",28,4,1.5,6.83333333333333
3311,"male",1,3.3,1.2,6.33333333333333
3311,"male",2,3.9,2.8,6.33333333333333
3311,"male",3,4,1.3,6.33333333333333
3311,"male",4,3.4,2,6.33333333333333
3311,"male",5,3.6,2,6.33333333333333
3311,"male",6,4.5,1.2,6.33333333333333
3311,"male",7,3.5,2.5,6.33333333333333
3311,"male",8,3.5,1.9,6.33333333333333
3311,"male",9,4.2,1.9,6.33333333333333
3311,"male",10,3.8,1.2,6.33333333333333
3311,"male",11,4.1,1.2,6.33333333333333
3311,"male",12,4.2,1.1,6.33333333333333
3311,"male",13,3.7,2.3,6.33333333333333
3311,"male",14,3.2,2.7,6.33333333333333
3311,"male",15,3.6,2.1,6.33333333333333
3311,"male",16,4.6,1.4,6.33333333333333
3311,"male",17,4,1.6,6.33333333333333
3311,"male",18,4,1.3,6.33333333333333
3311,"male",19,3.1,2.5,6.33333333333333
3311,"male",20,3.8,1.6,6.33333333333333
3311,"male",21,3.7,1.6,6.33333333333333
3311,"male",22,3.5,1.5,6.33333333333333
3311,"male",23,3.5,1.5,6.33333333333333
3311,"male",24,2,2.3,6.33333333333333
3311,"male",25,3.9,1.9,6.33333333333333
3311,"male",26,3.9,1.6,6.33333333333333
3311,"male",27,4.1,1.9,6.33333333333333
3311,"male",28,4.2,1.2,6.33333333333333
3311,"male",29,4.6,1.1,6.33333333333333
3311,"male",30,4.6,1.1,6.33333333333333
3311,"male",31,4.1,1.2,6.33333333333333
3311,"male",32,3.7,2.4,6.33333333333333
3311,"male",33,4.4,1.4,6.33333333333333
3311,"male",34,4.4,1.6,6.33333333333333
3311,"male",35,4.5,1.5,6.33333333333333
3311,"male",36,4.2,1.7,6.33333333333333
3311,"male",37,4.2,1.5,6.33333333333333
3311,"male",38,4.3,1.8,6.33333333333333
3311,"male",39,4.3,1.6,6.33333333333333
3311,"male",40,4.8,1.2,6.33333333333333
3311,"male",41,4.7,1.3,6.33333333333333
3311,"male",42,4.5,1.3,6.33333333333333
3311,"male",43,4.7,1.2,6.33333333333333
3311,"male",44,4.6,1.3,6.33333333333333
3311,"male",45,4.3,1.2,6.33333333333333
3311,"male",46,4.1,1.1,6.33333333333333
3311,"male",47,4.1,1.6,6.33333333333333
3311,"male",48,4.1,1.4,6.33333333333333
3311,"male",49,4.4,1.3,6.33333333333333
3311,"male",50,3.9,1.6,6.33333333333333
3311,"male",51,3.9,1.2,6.33333333333333
3311,"male",52,3.6,1.6,6.33333333333333
3311,"male",53,3.6,1.9,6.33333333333333
3311,"male",54,2.6,2.3,6.33333333333333
3311,"male",55,3.6,2.4,6.33333333333333
